id,trade_date,selection_type,ts_code,stock_name,total_score,final_rank,sector,reason,unifuncs_recommended,auction_price,auction_pct_chg,suggested_position,stop_loss,target_price,t2_open,t2_close,t2_return,is_success,created_at,sector_linkage_score,sector_role_label
475,20260424,t_day,002240.SZ,盛新锂能,75.2,1,能源金属,龙虎榜资金认可 + 主力资金大幅流入 + 所属板块热度高 + 【AI推荐】,1.0,,,,,,,,,,,5.797,板块龙头
476,20260424,t_day,001234.SZ,泰慕士,63.92,2,服装家纺,"涨停质量优秀 + 封流比高,主力控盘强",0.0,,,,,,,,,,,3.5172592592592595,前排跟随
477,20260424,t_day,603272.SH,联翔股份,61.87,3,家居用品,涨停质量优秀,0.0,,,,,,,,,,,2.8682857142857143,前排跟随
478,20260424,t_day,001211.SZ,双枪科技,61.47,4,家居用品,涨停质量优秀 + 主力资金大幅流入,0.0,,,,,,,,,,,2.8682857142857143,前排跟随
479,20260424,t_day,603365.SH,水星家纺,60.92,5,服装家纺,涨停质量优秀,0.0,,,,,,,,,,,3.5172592592592595,前排跟随
480,20260424,t_day,603819.SH,神力股份,60.7,6,电机Ⅱ,主力资金大幅流入,0.0,,,,,,,,,,,3.5,前排跟随
481,20260424,t_day,603967.SH,中创物流,60.46,7,物流,涨停质量优秀,0.0,,,,,,,,,,,3.4609565217391305,板块龙头
482,20260424,t_day,000925.SZ,众合科技,60.2,8,轨交设备,涨停质量优秀,0.0,,,,,,,,,,,2.6006666666666667,前排跟随
483,20260424,t_day,002756.SZ,永兴材料,59.2,9,能源金属,主力资金大幅流入 + 所属板块热度高,0.0,,,,,,,,,,,5.797,前排跟随
484,20260424,t_day,002192.SZ,融捷股份,58.8,10,能源金属,龙虎榜资金认可 + 主力资金大幅流入 + 所属板块热度高,0.0,,,,,,,,,,,5.797,前排跟随
455,20260423,t_day,601016.SH,节能风电,75.94,1,电力,龙虎榜资金认可 + 主力资金大幅流入 + 所属板块热度高 + 【AI推荐】,1.0,,,,,,,,,,,6.941703703703704,板块龙头
456,20260423,t_day,601778.SH,晶科科技,69.34,2,电力,主力资金大幅流入 + 所属板块热度高 + 【AI推荐】,1.0,,,,,,,,,,,6.941703703703704,前排跟随
457,20260423,t_day,001234.SZ,泰慕士,64.48,3,服装家纺,"涨停质量优秀 + 封流比高,主力控盘强",0.0,,,,,,,,,,,1.876566037735849,独立强势
458,20260423,t_day,300067.SZ,安诺其,63.73,4,化学制品,"涨停质量优秀 + 封流比高,主力控盘强 + 龙虎榜资金认可",0.0,,,,,,,,,,,2.931454545454545,板块龙头
459,20260423,t_day,300061.SZ,旗天科技,60.7,5,广告营销,涨停质量优秀 + 龙虎榜资金认可,0.0,,,,,,,,,,,2.2960000000000003,前排跟随
460,20260423,t_day,603390.SH,通达电气,59.48,6,汽车零部件,涨停质量优秀 + 龙虎榜资金认可,0.0,,,,,,,,,,,2.4766023166023166,前排跟随
461,20260423,t_day,001215.SZ,千味央厨,58.33,7,食品加工,主力资金大幅流入,0.0,,,,,,,,,,,2.5275555555555558,独立强势
462,20260423,t_day,000537.SZ,绿发电力,57.54,8,电力,所属板块热度高,0.0,,,,,,,,,,,6.941703703703704,前排跟随
463,20260423,t_day,600052.SH,东望时代,57.34,9,电力,涨停质量优秀 + 主力资金大幅流入 + 所属板块热度高,0.0,,,,,,,,,,,6.941703703703704,后排跟风
