id,ts_code,trade_date,limit_quality_score,seal_ratio_score,seal_flow_ratio_score,volume_ratio_score,turnover_rate_score,dragon_tiger_score,money_flow_score,amount_rank_score,sector_heat_score,bias_ma3_score,sentiment_score,total_score,first_limit_time_raw,limit_times_raw,seal_ratio_raw,seal_flow_ratio_raw,volume_ratio_raw,turnover_rate_raw,net_buy_amount_raw,main_net_inflow_raw,amount_rank_raw,sector_zt_count_raw,bias_ma3_raw,created_at,limit_quality_raw,dragon_tiger_raw,money_flow_raw,sector_heat_raw,sector_linkage_score,sector_linkage_raw
1469,000906.SZ,20260424,7.666666666666667,4.0,2.0,3.0,10.0,5.0,5.0,2.0,6.0,6.0,0.0,50.46,09:43:39,1.0,0.102,0.0084,11.79,8.26,0.0,-7325.42,164,3,6.71,,,,,,3.4609565217391305,"{""industry"": ""物流"", ""industry_zt_count"": 3, ""sector_pct_change"": -0.63, ""sector_up_ratio"": 0.54, ""sector_amount_rank"": 98, ""zt_score"": 15, ""pct_score"": 8.7, ""up_ratio_score"": 10.9, ""amount_score"": 0}"
1434,000925.SZ,20260424,10.0,6.0,6.0,6.0,10.0,6.0,5.0,2.0,5.0,3.0,0.0,60.2,09:30:00,0.0,0.4981,0.0307,1.31,6.17,181472426.59,-20446.88,164,2,9.7,,,,,,2.6006666666666667,"{""industry"": ""轨交设备"", ""industry_zt_count"": 2, ""sector_pct_change"": -0.33, ""sector_up_ratio"": 0.33, ""sector_amount_rank"": 124, ""zt_score"": 10, ""pct_score"": 9.3, ""up_ratio_score"": 6.7, ""amount_score"": 0}"
1461,000973.SZ,20260424,7.0,2.0,2.0,6.0,10.0,5.0,9.0,2.0,4.0,8.0,0.0,52.68,13:22:18,0.0,0.078,0.0078,1.21,10.01,0.0,57083.98,164,1,4.61,,,,,,2.478752688172043,"{""industry"": ""塑料"", ""industry_zt_count"": 1, ""sector_pct_change"": -0.16, ""sector_up_ratio"": 0.51, ""sector_amount_rank"": 41, ""zt_score"": 5, ""pct_score"": 9.7, ""up_ratio_score"": 10.1, ""amount_score"": 0}"
1430,001211.SZ,20260424,8.0,6.0,4.0,6.0,10.0,5.0,9.0,2.0,5.0,8.0,0.0,61.47,10:34:24,0.0,0.3251,0.0272,1.34,8.36,0.0,1891.47,164,2,5.84,,,,,,2.8682857142857143,"{""industry"": ""家居用品"", ""industry_zt_count"": 2, ""sector_pct_change"": -0.23, ""sector_up_ratio"": 0.46, ""sector_amount_rank"": 92, ""zt_score"": 10, ""pct_score"": 9.5, ""up_ratio_score"": 9.1, ""amount_score"": 0}"
1428,001234.SZ,20260424,9.333333333333334,6.0,8.0,8.0,10.0,5.0,5.0,2.0,6.0,3.0,0.0,63.92,09:46:45,0.0,0.4438,0.0612,2.68,13.8,0.0,-11702.98,164,2,9.67,,,,,,3.5172592592592595,"{""industry"": ""服装家纺"", ""industry_zt_count"": 2, ""sector_pct_change"": 1.29, ""sector_up_ratio"": 0.63, ""sector_amount_rank"": 91, ""zt_score"": 10, ""pct_score"": 12.6, ""up_ratio_score"": 12.6, ""amount_score"": 0}"
1466,001339.SZ,20260424,6.333333333333333,2.0,4.0,8.0,8.0,5.0,7.0,2.0,3.0,6.0,0.0,51.3,13:34:27,0.0,0.0656,0.01,2.3,15.28,0.0,3270.3,164,2,6.16,,,,,,3.5,"{""industry"": ""计算机设"", ""industry_zt_count"": 2, ""sector_pct_change"": 0, ""sector_up_ratio"": 0, ""sector_amount_rank"": 0, ""zt_score"": 10, ""pct_score"": 10.0, ""up_ratio_score"": 10, ""amount_score"": 5}"
1454,002127.SZ,20260424,8.0,2.0,2.0,10.0,10.0,5.0,9.0,2.0,2.0,6.0,0.0,54.8,10:09:03,0.0,0.0939,0.005,4.43,5.32,0.0,5603.73,164,1,6.94,,,,,,3.0,"{""industry"": ""互联网电"", ""industry_zt_count"": 1, ""sector_pct_change"": 0, ""sector_up_ratio"": 0, ""sector_amount_rank"": 0, ""zt_score"": 5, ""pct_score"": 10.0, ""up_ratio_score"": 10, ""amount_score"": 5}"
1459,002176.SZ,20260424,8.0,2.0,2.0,6.0,10.0,5.0,9.0,2.0,3.0,6.0,0.0,52.9,10:36:09,0.0,0.0608,0.0062,1.15,10.15,0.0,31080.3,164,2,6.43,,,,,,3.5,"{""industry"": ""电机Ⅱ"", ""industry_zt_count"": 2, ""sector_pct_change"": 0, ""sector_up_ratio"": 0, ""sector_amount_rank"": 0, ""zt_score"": 10, ""pct_score"": 10.0, ""up_ratio_score"": 10, ""amount_score"": 5}"
1436,002192.SZ,20260424,6.0,2.0,2.0,4.0,10.0,8.0,7.0,2.0,9.0,8.0,0.0,58.8,10:47:12,2.0,0.0629,0.007,0.98,11.08,264431915.81,6385.4,164,3,5.1,,,,,,5.797,"{""industry"": ""能源金属"", ""industry_zt_count"": 3, ""sector_pct_change"": 6.86, ""sector_up_ratio"": 0.94, ""sector_amount_rank"": 20, ""zt_score"": 15, ""pct_score"": 23.7, ""up_ratio_score"": 18.8, ""amount_score"": 0.5}"
1427,002240.SZ,20260424,6.333333333333333,2.0,2.0,6.0,10.0,10.0,9.0,2.0,9.0,8.0,10.0,75.2,14:01:45,0.0,0.0723,0.0049,1.18,6.83,241388044.52,54948.37,164,3,5.21,,,,,,5.797,"{""industry"": ""能源金属"", ""industry_zt_count"": 3, ""sector_pct_change"": 6.86, ""sector_up_ratio"": 0.94, ""sector_amount_rank"": 20, ""zt_score"": 15, ""pct_score"": 23.7, ""up_ratio_score"": 18.8, ""amount_score"": 0.5}"
