id,trade_date,zt_num,dt_num,fb_ratio,yzt_num,sentiment_stage,sh_close,sh_ma5,sh_bias,rz_ye,rz_ye_change,rq_ye,rq_ye_change,rz_buy_repay_ratio,north_net_inflow,risk_score,suggested_position,created_at
35,20260424,59,20,42.3728813559322,0,混沌,4079.9004,4089.3224600000003,-0.23040638375092407,,,,,,53614.479999999996,0.0,0.5,
34,20260423,50,15,46.0,0,混沌,4093.2501,4083.6274600000006,0.23563951644109063,,,,,,53579.89,0.0,0.5,
33,20260422,55,3,47.27272727272727,0,混沌,4106.2581,4076.0868,0.7402025884237787,,,,,,53493.91,0.0,0.5,
32,20260421,53,9,37.735849056603776,0,混沌,4085.0766,4060.27708,0.6107839320167783,,,,,,53445.0,0.0,0.5,
31,20260420,75,6,54.666666666666664,0,混沌,4082.1271,4048.58688,0.8284426392252775,,,,,,53407.619999999995,0.0,0.5,
30,20260417,71,3,46.478873239436616,0,混沌,4051.4254,4029.8730600000004,0.5348143645993586,,,,,,53446.71000000001,0.0,0.5,
29,20260416,79,1,46.835443037974684,0,混沌,4055.5468,4016.83292,0.963791145189087,,,,,,53276.61,0.0,0.5,
28,20260415,57,7,49.122807017543856,0,混沌,4027.2095,3998.9578,0.7064765724709523,,,,,,53233.71000000001,0.0,0.5,
27,20260414,55,4,47.27272727272727,0,混沌,4026.6256,3992.5154,0.8543536237831323,,,,,,53191.5,0.0,0.5,
26,20260413,59,4,45.76271186440678,0,混沌,3988.558,3965.22318,0.5884869259742408,,,,,,53211.66,0.0,0.5,
25,20260410,59,8,61.016949152542374,0,混沌,3986.2247,3943.53092,1.082628255390985,,,,,,53189.17,0.0,0.5,
24,20260409,53,1,47.16981132075472,0,混沌,3966.1712,3930.1430200000004,0.9167142217638633,,,,,,53217.32,0.0,0.5,
23,20260408,123,4,47.96747967479675,0,高潮,3994.9975,3926.6192,1.7414039028790937,,,,,,53091.4,0.0,0.4,
22,20260407,93,4,48.38709677419355,0,混沌,3890.1645,3905.9918,-0.4052056637702087,,,,,,0.0,0.0,0.5,
21,20260403,0,0,0.0,0,混沌,0.0,0.0,0.0,,,,,,0.0,0.0,0.5,
20,20260402,28,5,53.57142857142857,0,混沌,3919.2852,3919.3416999999995,-0.0014415686185179296,,,,,,53307.14,0.0,0.5,
19,20260401,56,6,39.285714285714285,0,混沌,3948.5521,3913.30136,0.9007928793912245,12665.975007,0.0,62.04045459,0.0,,53108.86,0.0,0.5,
18,20260331,53,1,41.509433962264154,0,混沌,3891.8605,3909.95844,-0.4628678354954614,,,,,,53235.8,1.0,0.45,
17,20260330,62,10,50.0,0,混沌,3923.2869,3907.84228,0.3952211704920756,,,,,,53228.770000000004,1.0,0.45,
16,20260327,78,2,35.8974358974359,0,混沌,3913.7238,3885.84148,0.7175362181784153,,,,,,53253.43,0.5,0.475,
15,20260326,39,8,43.58974358974359,0,混沌,3889.0835,3894.50726,-0.1392669120354824,,,,,,53282.270000000004,0.5,0.475,
14,20260325,84,1,41.66666666666667,0,混沌,3931.8375,3918.0010200000006,0.35315151602486006,,,,,,53248.86,0.5,0.475,
13,20260324,83,1,49.39759036144578,0,混沌,3881.2797,3944.2304000000004,-1.5960198471164442,,,,,,53025.64,0.5,0.475,
12,20260320,28,13,64.28571428571429,0,混沌,3957.0527,4032.2565000000004,-1.8650549636413314,,,,,,53001.97,0.5,0.475,2026-03-20 20:48:55.471752
11,20260319,28,5,42.857142857142854,0,混沌,4006.5523,4059.93566,-1.3148819210598097,,,,,,53212.020000000004,0.5,0.475,2026-03-19 20:00:21.931588
10,20260318,57,4,40.35087719298245,0,混沌,4062.9844,4084.4457200000006,-0.5254402058745145,,,,,,52950.119999999995,0.5,0.475,2026-03-18 23:28:10.037430
9,20260317,39,10,53.84615384615385,0,混沌,4049.9073,4098.535460000001,-1.186476498119675,12891.94165266,0.0,59.02058976,0.0,,52937.95,0.5,0.475,2026-03-18 09:40:32.766306
8,20260316,44,5,40.909090909090914,0,混沌,4084.7858,4113.1816,-0.690360960478861,12943.06591458,0.0,59.71256562,0.0,,53052.759999999995,0.5,0.475,2026-03-17 23:56:50.747026
5,20260313,59,13,35.59322033898305,0,混沌,4095.4485,4115.5449,-0.48830471998980995,13351.65438835,0.0,125.05137021,0.0,,53065.25,0.5,0.475,2026-03-15 14:22:53.927785
4,20260312,0,0,0.0,0,冰点,0.0,0.0,0.0,,,,,,0.0,0.5,0.27499999999999997,2026-03-12 01:15:14.250554
3,20260311,53,2,50.943396226415096,0,混沌,4133.4331,4117.186879999999,0.39459515619560376,,,,,,52767.94,0.5,0.475,2026-03-11 20:00:07.448330
2,20260310,56,4,35.714285714285715,0,混沌,4123.138,4106.995059999999,0.39305964005714283,,,,,,52733.47,0.5,0.475,2026-03-11 07:35:09.421031
1,20260309,42,3,30.952380952380953,0,混沌,4096.6023,4106.90266,-0.2508060417482645,,,,,,52912.99,0.5,0.475,2026-03-10 01:48:04.965080
