ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000001.SZ,20260403,210687,23492.18,160021,17858.48,232208,25905.59,195319,21791.13,205307,22906.53,181328,20223.79,109556,12224.06,221090,24654.97,-171291,-19078.06
000002.SZ,20260403,412478,15831.58,235785,9045.98,307140,11790.72,326579,12536.09,194218,7447.55,288553,11073.79,121584,4666.31,184504,7080.3,-333682,-12833.86
000004.SZ,20260403,3989,155.97,341,13.33,1222,47.78,1833,71.67,1680,65.69,4717,184.43,0,0.0,0,0.0,6891,269.44
000006.SZ,20260403,137569,11489.13,167709,13955.9,179418,14968.04,136127,11356.51,124597,10374.17,128477,10763.12,29744,2489.53,39016,3245.33,-61381,-5107.61
000007.SZ,20260403,17689,2221.25,12906,1617.75,25499,3197.1,17862,2239.25,19260,2415.42,22030,2762.22,3939,497.01,13590,1711.55,554,79.54
000008.SZ,20260403,1203862,34629.45,855954,24651.86,1065276,30677.39,1027813,29601.25,714645,20614.46,917627,26464.76,418935,12116.25,601325,17319.69,-667674,-19274.47
000009.SZ,20260403,73194,6228.07,61041,5193.13,61767,5259.58,51587,4389.98,22466,1908.88,33093,2816.05,6459,546.52,18165,1543.89,-38786,-3286.28
000010.SZ,20260403,115111,4259.79,108400,4011.26,93037,3438.77,78532,2906.56,58091,2148.0,70858,2615.36,4213,154.32,12662,467.7,-63606,-2343.11
000011.SZ,20260403,22360,1828.68,35451,2896.91,18628,1523.01,11565,945.78,10133,826.9,5454,447.06,1349,111.16,0,0.0,-15776,-1290.04
000012.SZ,20260403,84045,3675.84,83264,3643.45,69128,3024.67,58115,2542.86,43576,1907.25,43822,1917.36,2346,102.29,13894,606.39,-65588,-2867.99
000014.SZ,20260403,44273,5686.24,40870,5246.01,33049,4241.36,30505,3916.89,14441,1850.0,19917,2555.44,791,102.41,1262,161.67,-14047,-1803.7
000016.SZ,20260403,229201,7114.63,213853,6641.38,159697,4969.77,149807,4662.54,156523,4862.11,104897,3258.45,21260,659.15,98124,3043.28,-79214,-2440.26
000017.SZ,20260403,32789,2172.31,28015,1856.89,9887,653.73,12440,823.46,2904,192.7,5125,338.39,0,0.0,0,0.0,-5912,-391.75
000019.SZ,20260403,125015,9043.04,130425,9423.28,87528,6332.44,76228,5519.53,32434,2338.76,36687,2651.91,2546,186.93,4183,306.46,-31510,-2286.91
000020.SZ,20260403,38986,5843.7,28530,4280.59,36598,5489.18,43905,6584.71,25350,3802.77,28891,4333.33,5038,758.83,4646,695.85,-17627,-2646.96
000021.SZ,20260403,148717,38333.84,148325,38280.04,135901,35050.03,142595,36787.4,107856,27833.89,109949,28346.83,55745,14390.5,47350,12193.98,-32219,-8203.14
000025.SZ,20260403,14164,2222.5,9735,1528.19,10100,1584.66,11320,1777.49,3198,500.97,4733,742.24,1194,187.28,2868,447.48,-5181,-815.57
000026.SZ,20260403,19296,2768.75,19842,2849.11,17098,2455.46,15143,2176.2,6365,915.35,7596,1088.51,769,109.27,947,135.02,-2751,-386.24
000027.SZ,20260403,148978,9912.07,97457,6487.32,159893,10646.88,153012,10187.29,105357,7015.5,142608,9498.42,26698,1783.79,47847,3185.2,-92182,-6121.28
000028.SZ,20260403,33882,8987.31,31476,8354.62,24543,6515.97,23592,6262.98,17598,4673.74,15482,4106.66,236,62.3,5709,1515.06,-11918,-3165.08
000029.SZ,20260403,15335,2950.09,19209,3696.87,13120,2522.09,8937,1719.34,9779,1877.42,6002,1155.32,3466,669.09,7552,1447.15,-4034,-770.34
000030.SZ,20260403,175052,8550.61,146202,7147.32,155298,7608.28,176428,8628.5,125042,6117.24,122828,6014.52,2159,104.71,12093,590.5,-118410,-5808.43
000031.SZ,20260403,63098,1776.16,81525,2295.32,36555,1027.74,42367,1192.82,35776,1007.18,20716,582.48,18574,523.67,9395,264.13,-26277,-735.18
000032.SZ,20260403,57073,9834.91,60044,10354.11,57634,9937.21,62179,10721.22,36153,6234.43,33084,5696.94,8349,1438.11,3903,672.39,-31624,-5435.5
000034.SZ,20260403,47532,15312.21,42728,13789.17,42426,13669.18,41865,13494.34,25749,8300.46,28217,9079.91,6262,2019.77,9159,2938.19,2503,822.0
000035.SZ,20260403,161454,10611.96,128883,8482.68,145416,9563.65,134937,8875.77,98752,6486.5,101594,6680.72,32606,2131.0,72815,4753.94,-76162,-4996.89
000036.SZ,20260403,111575,5223.3,87158,4080.12,68671,3214.02,72863,3412.47,42740,1998.6,59659,2788.7,13352,624.2,16658,778.83,-24567,-1153.88
000037.SZ,20260403,209774,20917.96,147861,14756.84,176474,17582.05,192594,19219.24,91052,9092.17,123079,12256.09,8282,817.76,22049,2177.78,-86722,-8609.46
000039.SZ,20260403,182006,19371.35,179330,19149.91,150089,16021.8,120629,12847.45,91401,9726.44,95520,10146.98,14991,1594.42,43007,4569.67,-6780,-697.99
000042.SZ,20260403,14822,1282.62,22195,1920.31,19860,1718.83,15154,1312.24,4357,377.61,4762,412.81,3072,266.3,0,0.0,-10623,-917.5
000045.SZ,20260403,56137,6933.38,43812,5417.5,53760,6638.14,56267,6948.58,26725,3303.69,35342,4369.95,5638,699.7,6839,838.89,-20575,-2536.71
000048.SZ,20260403,90105,15690.26,101696,17726.89,127623,22239.25,105274,18390.25,114152,19933.63,88094,15375.75,61673,10826.19,98488,17196.44,19538,3481.3
000049.SZ,20260403,39623,9863.64,35620,8870.1,33310,8289.18,34364,8562.25,23494,5851.94,21954,5469.43,3336,833.47,7825,1936.45,-26970,-6702.12
000050.SZ,20260403,72191,5648.6,52889,4139.67,46324,3625.03,48489,3795.28,19752,1545.0,35044,2742.58,6611,518.96,8456,660.05,-16102,-1253.98
000055.SZ,20260403,50332,1746.96,42942,1492.4,25396,882.36,22227,771.68,9468,326.98,17027,587.53,0,0.0,3000,104.7,-25387,-877.54
