id,t_day,t1_day,t2_day,ts_code,stock_name,t1_open,t2_close,return_pct,is_win,selection_rank,created_at,shares_held,sell_history,final_profit
59,20260422,20260423,20260424,001234.SZ,泰慕士,29.82,0.0,9.97652582159625,1,3,2026-04-24 16:10:58.468488,0.5,"[{""date"": ""20260424"", ""price"": 35.77, ""ratio"": 0.5, ""shares_sold"": 0.5, ""profit"": 2.9750000000000014, ""is_limit_up"": true}]",2.9750000000000014
58,20260422,20260423,20260424,600736.SH,苏州高新,8.37,0.0,1.553166069295111,1,2,2026-04-24 16:10:58.468487,0.0,"[{""date"": ""20260424"", ""price"": 8.5, ""ratio"": 1.0, ""shares_sold"": 1.0, ""profit"": 0.13000000000000078, ""is_limit_up"": false}]",0.13000000000000078
57,20260422,20260423,20260424,300067.SZ,安诺其,7.27,0.0,-8.253094910591468,0,1,2026-04-24 16:10:58.468482,0.0,"[{""date"": ""20260424"", ""price"": 6.67, ""ratio"": 1.0, ""shares_sold"": 1.0, ""profit"": -0.5999999999999996, ""is_limit_up"": false}]",-0.5999999999999996
56,20260421,20260422,20260423,000690.SZ,宝新能源,5.25,0.0,4.3809523809523885,1,3,2026-04-23 16:10:14.818462,0.0,"[{""date"": ""20260423"", ""price"": 5.48, ""ratio"": 1.0, ""shares_sold"": 1.0, ""profit"": 0.23000000000000043, ""is_limit_up"": false}]",0.23000000000000043
55,20260421,20260422,20260423,002982.SZ,湘佳股份,15.55,0.0,-7.65273311897107,0,2,2026-04-23 16:10:14.818460,0.0,"[{""date"": ""20260423"", ""price"": 14.36, ""ratio"": 1.0, ""shares_sold"": 1.0, ""profit"": -1.1900000000000013, ""is_limit_up"": false}]",-1.1900000000000013
54,20260421,20260422,20260423,300067.SZ,安诺其,6.06,0.0,9.983498349834983,1,1,2026-04-23 16:10:14.818455,0.5,"[{""date"": ""20260423"", ""price"": 7.27, ""ratio"": 0.5, ""shares_sold"": 0.5, ""profit"": 0.605, ""is_limit_up"": true}]",0.605
53,20260417,20260420,20260421,002802.SZ,洪汇新材,16.37,0.0,-9.651802076970078,0,3,2026-04-21 19:30:19.819904,0.0,"[{""date"": ""20260421"", ""price"": 14.79, ""ratio"": 1.0, ""shares_sold"": 1.0, ""profit"": -1.5800000000000018, ""is_limit_up"": false}]",-1.5800000000000018
52,20260417,20260420,20260421,603083.SH,剑桥科技,159.67,0.0,0.9394375900294358,1,2,2026-04-21 19:30:19.819902,0.0,"[{""date"": ""20260421"", ""price"": 161.17, ""ratio"": 1.0, ""shares_sold"": 1.0, ""profit"": 1.5, ""is_limit_up"": false}]",1.5
51,20260417,20260420,20260421,002281.SZ,光迅科技,122.0,0.0,-0.17213114754097847,0,1,2026-04-21 19:30:19.819896,0.0,"[{""date"": ""20260421"", ""price"": 121.79, ""ratio"": 1.0, ""shares_sold"": 1.0, ""profit"": -0.20999999999999375, ""is_limit_up"": false}]",-0.20999999999999375
50,20260416,20260417,20260420,001230.SZ,劲旅环境,28.02,28.41,1.39,0,3,2026-04-20 17:02:07.599723,1.0,[],
49,20260416,20260417,20260420,002802.SZ,洪汇新材,15.05,15.69,4.25,1,2,2026-04-20 17:02:07.599722,1.0,[],
48,20260416,20260417,20260420,603906.SH,龙蟠科技,25.8,27.31,5.85,1,1,2026-04-20 17:02:07.599716,1.0,[],
47,20260415,20260416,20260417,603815.SH,交建股份,6.51,6.57,0.92,0,3,2026-04-17 16:10:36.820327,1.0,[],
46,20260415,20260416,20260417,600664.SH,哈药股份,4.7,4.17,-11.28,0,2,2026-04-17 16:10:36.820326,1.0,[],
