% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.97    0.232998      232998         1           wait4
  0.02    0.000036           6         6           munmap
  0.01    0.000020           3         6         1 futex
  0.00    0.000002           0         4           close
  0.00    0.000001           1         1           restart_syscall
  0.00    0.000000           0        10           read
  0.00    0.000000           0         6           write
  0.00    0.000000           0         8           poll
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         3           getpid
------ ----------- ----------- --------- --------- ----------------
100.00    0.233057        5066        46         1 total
